Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SGTB	"FLJ39002, Sgt2"	ENSG00000197860	"Small glutamine rich tetratricopeptide repeat co-chaperone beta"	Q96EQ0	5	65665928-65723035	"Predicted intracellular proteins"		Chaperone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 31.1"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 42.1;Horizontal cells: 37.1;Inhibitory neurons: 36.3;Langerhans cells: 43.3;Muller glia cells: 59.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in all"	4	"granulocytes: 10.1;monocytes: 6.7;T-cells: 13.6"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044689, HPA063674"	Enhanced		Approved	"Nucleoplasm,Nuclear speckles,Microtubules,Primary cilium,Basal body"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 14: Neurons - Synaptic function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	104	"Nucleoplasm, Primary cilium"	"Nuclear speckles, Microtubules, Basal body"	"HPA044689: AB_10960838, HPA063674: AB_2685084"	"unprognostic (2.08e-1)"	"unprognostic (1.69e-1)"	"unprognostic (2.37e-1)"	"unprognostic (3.88e-2)"	"unprognostic (9.98e-2)"	"unprognostic (5.13e-2)"	"unprognostic (2.65e-1)"	"unprognostic (6.94e-4)"	"unprognostic (2.85e-1)"	"unprognostic (9.66e-3)"	"unprognostic (6.85e-5)"	"unprognostic (2.37e-2)"	"unprognostic (3.89e-4)"	"unprognostic (1.90e-4)"	"unprognostic (5.33e-2)"	"unprognostic (1.22e-1)"	"unprognostic (3.20e-3)"	"unprognostic (1.52e-1)"	"unprognostic (8.71e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.83e-3)"	"unprognostic (3.29e-3)"	"unprognostic (1.15e-1)"	"unprognostic (6.16e-2)"	"unprognostic (1.69e-1)"	"unprognostic (6.59e-3)"	"unprognostic (2.79e-1)"	"unprognostic (1.28e-1)"	"unprognostic (4.31e-2)"	"unprognostic (4.23e-2)"	"unprognostic (1.44e-1)"
SHANK2	"CORTBP1, CTTNBP1, ProSAP1, SHANK, SPANK-3"	ENSG00000162105	"SH3 and multiple ankyrin repeat domains 2"	Q9UPX8	11	70467854-71252577	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Autism, Autism spectrum disorder"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 9.7"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 148.4;Horizontal cells: 50.4;Inhibitory neurons: 160.7"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 1205.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008174, HPA017220"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Vesicles,Plasma membrane"			NA	NA				"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 65: Neurons - Synaptic function"	7	"Nuclear speckles, Vesicles"	"Nucleoplasm, Plasma membrane"	"HPA008174: AB_1856822, HPA017220: "	"unprognostic (1.18e-1)"	"unprognostic (2.97e-1)"	"unprognostic (4.04e-1)"	"unprognostic (3.06e-4)"	"unprognostic (1.02e-1)"	"unprognostic (6.45e-2)"			"unprognostic (1.57e-3)"	"unprognostic (2.03e-1)"	"unprognostic (8.62e-8)"	"unprognostic (7.48e-2)"	"unprognostic (6.24e-2)"	"unprognostic (2.34e-1)"	"unprognostic (1.74e-4)"	"unprognostic (2.19e-1)"	"unprognostic (2.22e-1)"	"unprognostic (2.54e-3)"	"unprognostic (3.73e-1)"	"unprognostic (1.37e-1)"	"unprognostic (7.22e-3)"	"unprognostic (1.04e-2)"	"unprognostic (5.08e-2)"	"unprognostic (2.97e-1)"	"unprognostic (2.73e-2)"	"unprognostic (6.82e-2)"	"unprognostic (6.22e-2)"	"unprognostic (2.28e-3)"		"unprognostic (4.33e-2)"	"unprognostic (3.00e-1)"
SHPK	"CARKL, SHK"	ENSG00000197417	Sedoheptulokinase	Q9UHJ6	17	3608240-3636250	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hepatocytes: 20.3;Rod photoreceptor cells: 22.4"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA024361, HPA064939"	Enhanced		Approved	"Nucleoplasm,Nuclear speckles"			NA	NA		300000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 42: Non-specific - Unknown function"	"Cluster 43: Hepatocytes - Metabolism"	6	"Nucleoplasm, Nuclear speckles"		"HPA024361: AB_1846030, HPA064939: AB_2685388"	"unprognostic (1.04e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.46e-2)"	"unprognostic (1.14e-2)"	"unprognostic (2.66e-2)"	"unprognostic (9.58e-3)"		"unprognostic (1.32e-1)"	"unprognostic (2.52e-2)"	"unprognostic (6.50e-5)"	"unprognostic (4.15e-4)"	"unprognostic (2.44e-5)"	"unprognostic (1.66e-2)"	"unprognostic (1.90e-4)"	"unprognostic (1.84e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.96e-4)"	"unprognostic (2.59e-1)"	"unprognostic (1.86e-1)"	"unprognostic (1.38e-1)"	"unprognostic (1.55e-1)"	"unprognostic (5.24e-2)"	"unprognostic (1.76e-1)"	"unprognostic (1.84e-1)"	"unprognostic (4.09e-2)"	"unprognostic (2.08e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.43e-1)"	"unprognostic (1.97e-2)"	"unprognostic (8.47e-2)"
SIK2	"DKFZp434K1115, KIAA0781, LOH11CR1I, QIK, SNF1LK2"	ENSG00000170145	"Salt inducible kinase 2"	Q9H0K1	11	111602449-111730855	"Enzymes, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 107.4;Excitatory neurons: 210.3;Inhibitory neurons: 126.7;Oligodendrocytes: 178.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016026, HPA071049"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Vesicles,Intermediate filaments,Cytosol"			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 3: Non-specific - Unknown function"	"Cluster 53: Neurons - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	25	"Nucleoplasm, Vesicles"	"Nuclear speckles, Intermediate filaments, Cytosol"	"HPA016026: AB_1857321, HPA071049: "	"unprognostic (2.16e-2)"	"unprognostic (1.59e-1)"	"unprognostic (4.67e-2)"	"unprognostic (1.49e-1)"	"unprognostic (2.66e-1)"	"unprognostic (3.77e-2)"	"unprognostic (3.47e-2)"	"unprognostic (2.18e-1)"	"unprognostic (4.41e-2)"	"unprognostic (1.41e-2)"	"unprognostic (3.05e-10)"	"unprognostic (1.11e-3)"	"unprognostic (1.38e-2)"	"unprognostic (2.43e-3)"	"unprognostic (9.73e-3)"	"unprognostic (1.62e-1)"	"unprognostic (1.55e-1)"	"unprognostic (1.20e-1)"	"unprognostic (9.16e-2)"	"unprognostic (4.30e-3)"	"unprognostic (7.00e-2)"	"unprognostic (5.25e-2)"	"unprognostic (9.53e-4)"	"unprognostic (9.18e-2)"	"unprognostic (1.00e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.29e-1)"	"unprognostic (4.86e-1)"	"unprognostic (7.01e-2)"	"unprognostic (9.67e-2)"
SIM1	bHLHe14	ENSG00000112246	"SIM bHLH transcription factor 1"	P81133	6	100385009-100464921	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 2.8;kidney: 9.5;skeletal muscle: 3.4"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 14.5;Collecting duct cells: 21.4;Distal tubular cells: 9.2;Ductal cells: 4.9;Skeletal myocytes: 15.6"	"Cell type enriched"	"Detected in some"	6	"mammillary body: 89.4"	"Group enriched"	"Detected in some"	4	"Kidney Chromophobe (TCGA): 8.9;Kidney Renal Papillary Cell Carcinoma (TCGA): 2.7"	"Group enriched"	"Detected in some"	4	"hypothalamus: 9.2;midbrain: 2.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 2.3;ovarian cancer: 1.9"	"Testis - Early spermatids"	"Region enriched"	"Detected in single"	8	"hypothalamus: 5.2"	"Low region specificity"	"Detected in some"			HPA024385			Approved	"Nuclear speckles"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	5	"Nuclear speckles"		"HPA024385: AB_1856879"			"unprognostic (2.05e-1)"							"unprognostic (3.38e-2)"	"unprognostic (2.95e-3)"	"unprognostic (8.48e-4)"	"unprognostic (2.36e-2)"																		
SIRT7		ENSG00000187531	"Sirtuin 7"	Q9NRC8	17	81911939-81921323	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"DNA damage, DNA repair, Transcription, Transcription regulation"	"Chromatin regulator, Hydrolase, Repressor, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in all"		"Gastric mucus-secreting cells: 132.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 22.3"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA027284, HPA028246, CAB037261, HPA053669"	Approved		Supported	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 11: White matter - Signal transduction"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 59: Suprabasal keratinocytes - Cornification"	29	Nucleoplasm	"Nuclear speckles"	"CAB037261: AB_1079989, HPA027284: , HPA028246: , HPA053669: AB_2682224"	"unprognostic (4.68e-2)"	"unprognostic (9.85e-2)"	"unprognostic (8.38e-2)"	"unprognostic (1.93e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.29e-1)"	"unprognostic (3.23e-1)"	"unprognostic (7.12e-4)"	"unprognostic (1.29e-1)"	"unprognostic (1.52e-2)"	"unprognostic (3.27e-1)"	"unprognostic (2.23e-1)"	"unprognostic (3.05e-2)"	"unprognostic (1.10e-6)"	"unprognostic (3.27e-2)"	"unprognostic (6.38e-2)"	"unprognostic (3.92e-2)"	"unprognostic (1.92e-2)"	"unprognostic (4.00e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.23e-5)"	"unprognostic (2.19e-2)"	"unprognostic (1.69e-1)"	"unprognostic (6.22e-2)"	"unprognostic (8.53e-2)"	"unprognostic (9.54e-2)"	"unprognostic (2.23e-1)"	"unprognostic (3.08e-2)"	"unprognostic (2.47e-1)"	"unprognostic (5.83e-2)"	"unprognostic (3.68e-3)"
SLC25A12	Aralar	ENSG00000115840	"Solute carrier family 25 member 12"	O75746	2	171783405-171999859	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	Transport		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 93.5"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 122.3;Excitatory neurons: 143.4;Inhibitory neurons: 168.0;Oligodendrocyte precursor cells: 104.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035333, HPA035334"	Enhanced		Uncertain	"Nuclear speckles,Cytosol"			NA	NA		4100	"Cluster 24: Non-specific - Transcription"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 8: Neurons - Neuronal signaling"	23	"Nuclear speckles"	Cytosol	"HPA035333: AB_10603028, HPA035334: AB_2674577"	"unprognostic (4.73e-2)"	"unprognostic (8.22e-2)"	"unprognostic (1.47e-2)"	"unprognostic (1.30e-2)"	"unprognostic (2.80e-1)"	"unprognostic (4.55e-2)"	"unprognostic (7.73e-2)"	"unprognostic (3.76e-3)"	"unprognostic (2.76e-1)"	"unprognostic (1.65e-1)"	"unprognostic (7.69e-4)"	"unprognostic (3.62e-4)"	"unprognostic (1.84e-3)"		"unprognostic (4.71e-3)"	"unprognostic (1.14e-1)"	"unprognostic (9.87e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.37e-2)"	"unprognostic (1.40e-1)"	"unprognostic (4.16e-3)"	"unprognostic (1.23e-1)"	"unprognostic (2.69e-2)"	"unprognostic (3.99e-2)"	"unprognostic (1.25e-1)"	"unprognostic (1.44e-1)"	"unprognostic (7.98e-2)"	"unprognostic (2.61e-1)"	"unprognostic (2.61e-2)"	"unprognostic (1.90e-2)"
SLC28A1	CNT1	ENSG00000156222	"Solute carrier family 28 member 1"	O00337	15	84884654-84945798	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	21	"intestine: 47.7;kidney: 46.9;liver: 108.6"	"Group enriched"	"Detected in some"	10	"Hepatocytes: 34.9;Hofbauer cells: 45.0;Proximal enterocytes: 87.5;Proximal tubular cells: 80.3"	"Cell type enhanced"	"Detected in some"		"astrocyte: 7.2;ependymal cell: 6.0"	"Cancer enhanced"	"Detected in some"		"Kidney Renal Clear Cell Carcinoma (TCGA): 83.7;Kidney Renal Papillary Cell Carcinoma (TCGA): 39.0"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"Kidney cancer: 3.9"	"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA019551, HPA056247"	Enhanced		Approved	"Nuclear speckles,Plasma membrane,Cytosol"			NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 22: Proximal enterocytes - Digestion"		"Plasma membrane"	"Nuclear speckles, Cytosol"	"HPA019551: AB_2670187, HPA056247: "			"unprognostic (6.47e-3)"								"unprognostic (6.26e-6)"	"unprognostic (4.28e-4)"	"unprognostic (2.77e-4)"	"unprognostic (1.35e-2)"	"unprognostic (3.74e-5)"																
SLC2A4RG	"GEF, HDBP1, Si-1-2, Si-1-2-19"	ENSG00000125520	"SLC2A4 regulator"	Q9NR83	20	63739776-63744050	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 147.0"	"Cell type enhanced"	"Detected in all"		"Proximal tubular cells: 122.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Thyroid gland - Fibroblasts"					"Low region specificity"	"Detected in all"			HPA063050			Approved	"Nuclear speckles"			NA	NA				"Cluster 83: Liver - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 33: Non-specific - DNA binding"		"Nuclear speckles"		"HPA063050: AB_2684930"	"unprognostic (7.74e-2)"	"unprognostic (1.73e-1)"	"unprognostic (6.84e-2)"	"unprognostic (1.65e-1)"	"unprognostic (4.86e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.17e-2)"	"unprognostic (6.11e-3)"	"unprognostic (5.04e-2)"	"unprognostic (6.31e-2)"	"unprognostic (8.36e-2)"	"unprognostic (3.55e-2)"	"unprognostic (9.09e-3)"	"unprognostic (1.53e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.38e-2)"	"unprognostic (6.99e-2)"	"unprognostic (4.50e-2)"	"unprognostic (2.96e-1)"	"unprognostic (2.92e-1)"	"unprognostic (6.14e-3)"	"unprognostic (9.19e-2)"	"unprognostic (1.23e-2)"	"unprognostic (2.58e-1)"	"unprognostic (3.28e-1)"	"unprognostic (1.68e-1)"	"unprognostic (1.14e-1)"	"unprognostic (8.02e-2)"	"unprognostic (3.50e-1)"	"unprognostic (3.34e-2)"	"unprognostic (8.05e-2)"
SLC31A2	"COPT2, CTR2, hCTR2"	ENSG00000136867	"Solute carrier family 31 member 2"	O15432	9	113150976-113164140	"Predicted membrane proteins, Transporters"	"Copper transport, Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"parathyroid gland: 550.1;salivary gland: 397.6"	"Cell type enhanced"	"Detected in many"		"Kupffer cells: 131.9;monocytes: 364.0;Oligodendrocytes: 105.9;Serous glandular cells: 227.4"	"Cell type enriched"	"Detected in all"	4	"oligodendrocyte: 222.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	12	"classical monocyte: 225.9;intermediate monocyte: 331.5;myeloid DC: 134.5;neutrophil: 357.2;non-classical monocyte: 424.7"	"Group enriched"	"Detected in all"	46	"dendritic cells: 134.5;granulocytes: 357.2;monocytes: 424.7"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 27.7"	"Adrenal gland - Adrenal cortex cells, Colon - Macrophages, Lung - Macrophages, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014861, CAB080265, CAB080267"	Supported		Approved	"Nuclear speckles,Plasma membrane,Intermediate filaments"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 30: White matter - Myelination"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 75: Serous glandular cells - Salivary secretion"	10	"Plasma membrane"	"Nuclear speckles, Intermediate filaments"	"CAB080265: , CAB080267: , HPA014861: AB_1857098"	"unprognostic (6.87e-2)"	"unprognostic (1.61e-1)"	"unprognostic (1.86e-2)"	"unprognostic (1.38e-1)"	"unprognostic (2.06e-1)"	"unprognostic (5.68e-2)"	"unprognostic (4.01e-2)"	"unprognostic (1.70e-1)"	"unprognostic (2.73e-3)"	"unprognostic (2.11e-2)"	"unprognostic (1.30e-5)"	"unprognostic (1.37e-3)"	"unprognostic (4.19e-4)"	"unprognostic (3.54e-1)"	"unprognostic (4.54e-3)"	"unprognostic (1.79e-1)"	"unprognostic (2.26e-1)"	"unprognostic (1.86e-2)"	"unprognostic (7.82e-3)"	"unprognostic (3.44e-3)"	"unprognostic (4.16e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.35e-1)"	"unprognostic (2.19e-2)"	"unprognostic (2.36e-1)"	"unprognostic (7.15e-2)"	"unprognostic (9.62e-2)"	"unprognostic (5.45e-2)"	"unprognostic (6.69e-2)"	"unprognostic (1.76e-1)"
SLC34A1	"NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2"	ENSG00000131183	"Solute carrier family 34 member 1"	Q06495	5	177379235-177398848	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant, Osteoporosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	54	"kidney: 149.8"	"Cell type enriched"	"Detected in some"	8	"Proximal tubular cells: 101.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	10	"Kidney Renal Clear Cell Carcinoma (TCGA): 3.2;Kidney Renal Papillary Cell Carcinoma (TCGA): 2.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA051255, HPA077175"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Plasma membrane,Mitotic spindle,Cytosol"			Yes	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1	"Nuclear speckles, Plasma membrane"	"Nucleoplasm, Mitotic spindle, Cytosol"	"HPA051255: AB_2681409, HPA077175: "											"unprognostic (9.26e-7)"	"unprognostic (1.13e-3)"	"unprognostic (1.95e-1)"																		
